141;6;-0.0007317464356706438;2856,57
142;27;-0.000222904548142;723
143;2;-0.00023444412486406385;968,3768,351
144;10;-0.0004740126851676685;1800,1939,389
145;18;-0.0003328619050179116;2121
146;32;-0.0006166575563535392;1553
147;101;-0.0006703719444266509;2096,2282,3765,3223
148;0;-0.0007660166063825358;406
149;37;-0.00020326947465065803;65
150;66;-0.00020593364505738787;553
151;15;-0.00014981343983433426;2737
152;79;-0.0029008052484985614;1953,1666,2501,2725,1164,1747,3260
153;16;-0.0003679564581613448;942
154;34;-0.0007659160065071058;2497
155;51;-0.0006091494975772882;721
156;32;-0.0006609879543325592;3499
157;17;-0.0002568765452126698;2565
158;12;-0.00040333132335867994;289,3597
159;0;-0.0006515011799625992;2734
160;66;-0.0002118565237679837;457
161;5;-0.0002175842998252131;3171
162;52;-0.0006023288705572227;2652
163;34;-0.0006738397076345715;905
164;44;-0.0008268476222800247;2709
165;72;-0.0003327389315117557;1607
166;60;-0.00039177223659936367;3664
167;91;-0.00019678786741461618;864
168;94;-0.00024378541123803998;107
169;8;-0.00020583921511696524;71
170;12;-0.0002749807440377561;311
171;0;-0.001269760712890644;3354
172;31;-0.00010705960161772055;130
173;0;-0.0016994500730221906;162
174;51;-0.00064521089088454;2409
175;15;-0.00017808933938279203;1946
176;36;-0.0004383080986120058;2673,3739
177;25;-5.5023371964169066e-05;2825
178;77;-0.0005840712728544251;2717
179;58;-0.00022677144191152188;2642
180;67;-0.0004512851853699651;2228
181;61;-0.0006249579884584078;2729
182;44;-0.0008948396828566407;1927
183;29;-0.00018881967846751113;1469
184;107;-0.0002763686680768984;3602,3434
185;6;-0.0005488448704780158;3190,3727
186;32;-0.0008852410763259266;2123
187;16;-0.0005654834310520052;1038
188;52;-0.002835210268713362;2841,3131,3053,3271
189;87;-6.541773863788514e-05;2337
190;44;-0.0008294918797743245;18
191;113;-0.0002698714378395195;3326
192;60;-0.0013759284521824844;2261,2989,3757
193;72;-0.0005549756118238269;1659
194;51;-0.0005822718345915856;2738
195;4;-0.00021028844177817252;217
196;0;-0.004945225407117615;736,417,2731,2212
197;82;-0.0006109927455651976;3412
198;67;-0.0006579155577802753;1071
199;127;-0.0005094840867858608;976
200;20;-0.00025409813155219396;445
201;18;-0.0022623219461290756;975,470,2535
202;108;-0.0005100187888950058;3236
203;86;-0.0002936502895587445;178,3678,3087
204;17;-0.0007631925080842095;2776,2987,2957
205;22;-0.00016959393501592146;1344
206;27;-0.00045731720957509214;745
207;91;-0.0003482550439458665;2582
208;61;-0.0007004806674214548;1696
209;16;-0.0004533658755031533;2256
210;152;-0.001049943993693736;2808
211;51;-0.0008524993985992158;1323
212;130;-0.0012274098061582084;2914
213;37;-0.0002880822887934009;2041
214;72;-0.0008862009552677019;2920,733
215;77;-0.0015829684907754382;2544,2938,2708,1960
216;117;-0.00010333178679000632;3530
217;58;-0.0003190595101681959;663,637,3263
218;68;-0.000853990011284167;2868,325
219;127;-0.0010446259041919648;1476,3527
220;44;-0.001476599720637961;1208
221;6;-0.0003306100579987259;2880
222;24;-0.00011053524501725143;3158
223;116;-0.00011085143477040926;1191
224;13;-0.0008919333624139991;1975
225;138;-0.0004506547712529452;176
226;0;-0.0021378392334100438;2322
227;44;-0.001257387179693592;1529
228;34;-0.002017167707340062;575
229;109;-0.0006501007692877314;1686
230;28;-0.00012231748372726337;1444
231;10;-0.0017198555855109099;3104
232;14;-0.0021778557060386783;3088,2858
233;67;-0.0007320125037381109;3677
234;141;-0.0002533302346451327;3442
235;101;-0.0009893559252402984;3329
236;107;-0.00012871953328463803;2533
237;32;-0.0013851049158405404;3165
238;132;-0.0001292346081608331;648
239;130;-0.0013440259073869143;1082
240;42;-0.0012443321064931068;1957
241;5;-0.000527261815435387;218
242;34;-0.0032283890305374596;3730
243;52;-0.001307479725140559;2189
244;32;-0.00185637424006313;2532
245;113;-0.00042300783067417136;2614
246;79;-0.0012409333174108195;2072
247;119;-0.0005674189184261547;744
248;59;-0.00034677504966862394;2078
249;130;-0.0011450744665976176;2343
